customer_id,name,age,email,phone,address,preferences,dietary_restrictions,loyalty_status,visit_frequency,average_spend,preferred_dining_times,preferred_cuisines,special_occasions
17f1a2fb-c369-42ef-9aeb-afbc7d7778f9,Catherine Hull,33,estradarobert@example.org,1332097338,"9727 Ross Turnpike
Fernandezchester, WI 83628","{'seating_preference': 'private_room', 'noise_level': 'quiet', 'lighting': 'bright', 'music_preference': 'live', 'table_size': '6-top', 'special_requests': ['window seat', 'quiet corner']}","['vegetarian', 'shellfish-free']",silver,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2024, 11, 13, 1, 38, 53), 'average_visit_duration': 103, 'preferred_visit_days': ['Wednesday', 'Thursday', 'Tuesday', 'Saturday', 'Monday'], 'visit_pattern': 'regular'}","{'per_visit': 131.97, 'per_month': 209.12, 'per_year': 9263.17}","['dinner', 'breakfast']",['Mediterranean'],[]
5e0e9976-a4a8-4ad3-87f7-e9023d34cad3,Eric Maldonado,37,kingeric@example.com,589.925.3124x35566,"47528 Hernandez Alley
Sharpland, ND 72842","{'seating_preference': 'private_room', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '2-top', 'special_requests': ['away from kitchen', 'booth']}",[],bronze,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2024, 10, 29, 10, 49, 19), 'average_visit_duration': 59, 'preferred_visit_days': ['Tuesday', 'Friday', 'Monday', 'Saturday'], 'visit_pattern': 'seasonal'}","{'per_visit': 64.75, 'per_month': 434.5, 'per_year': 7194.26}","['late_night', 'dinner']","['Contemporary American', 'Mediterranean']","[{'type': 'anniversary', 'frequency': 'quarterly', 'preferred_seating': 'private_room', 'average_group_size': 7}, {'type': 'birthday', 'frequency': 'monthly', 'preferred_seating': 'main_dining', 'average_group_size': 8}, {'type': 'family_gathering', 'frequency': 'monthly', 'preferred_seating': 'main_dining', 'average_group_size': 2}]"
8177d85e-888c-4cea-b4b1-1f18a33dfa49,Gregory Nelson,41,david11@example.com,651-750-7708x231,"1824 Murray Ramp
Port James, CT 78250","{'seating_preference': 'bar', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['away from kitchen']}","['shellfish-free', 'gluten-free']",bronze,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2024, 7, 26, 4, 36, 49), 'average_visit_duration': 82, 'preferred_visit_days': ['Sunday', 'Wednesday', 'Saturday', 'Thursday'], 'visit_pattern': 'occasional'}","{'per_visit': 121.05, 'per_month': 907.3, 'per_year': 6219.43}",['lunch'],"['Mediterranean', 'Contemporary American']","[{'type': 'date_night', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 12}, {'type': 'business_meeting', 'frequency': 'annually', 'preferred_seating': 'outdoor', 'average_group_size': 18}]"
3f18bbe7-c878-4f49-9224-98ee5b3c593e,Jeffrey Jacobson,29,darrellfox@example.net,084-677-2468,"13790 Nicole Run Suite 409
Simschester, KS 23362","{'seating_preference': 'outdoor', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': []}",[],silver,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2024, 9, 14, 15, 38, 53), 'average_visit_duration': 117, 'preferred_visit_days': ['Saturday', 'Monday'], 'visit_pattern': 'regular'}","{'per_visit': 39.69, 'per_month': 827.43, 'per_year': 5855.3}","['dinner', 'lunch']",['Mediterranean'],[]
65f6d50b-703a-46e4-964a-ecfaf8c18ec2,William Norman,69,carolinerowe@example.org,(310)289-3100,"53879 Laura Lights Suite 282
Gonzalezstad, NV 25199","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': ['quiet corner', 'booth']}","['kosher', 'halal']",silver,"{'visits_per_month': 3, 'last_visit': datetime.datetime(2024, 12, 30, 6, 1, 9), 'average_visit_duration': 60, 'preferred_visit_days': ['Wednesday'], 'visit_pattern': 'regular'}","{'per_visit': 101.57, 'per_month': 765.46, 'per_year': 9871.82}","['late_night', 'breakfast', 'dinner', 'lunch']","['Contemporary American', 'Mediterranean']",[]
fdd4fba6-ae75-48ad-9565-b6c7a05996c9,Timothy Gill,54,spacheco@example.org,(640)459-1125,"7633 Christopher Brooks
New Preston, PA 19961","{'seating_preference': 'private_room', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'live', 'table_size': '8-top', 'special_requests': ['quiet corner']}",[],bronze,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 4, 26, 15, 41, 8), 'average_visit_duration': 103, 'preferred_visit_days': ['Friday', 'Wednesday', 'Monday', 'Sunday', 'Thursday'], 'visit_pattern': 'regular'}","{'per_visit': 174.91, 'per_month': 559.86, 'per_year': 7669.56}","['lunch', 'dinner', 'late_night']",['Mediterranean'],[]
193d23e3-4746-48da-b886-a0b350337854,Wendy Arroyo,80,calebjohnson@example.com,557-377-7919,"7868 Blake Rapid
Lindseymouth, AL 77122","{'seating_preference': 'outdoor', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'live', 'table_size': '2-top', 'special_requests': []}",[],bronze,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2024, 10, 28, 18, 28, 29), 'average_visit_duration': 117, 'preferred_visit_days': ['Friday', 'Saturday', 'Thursday', 'Monday', 'Tuesday', 'Wednesday'], 'visit_pattern': 'occasional'}","{'per_visit': 171.89, 'per_month': 686.1, 'per_year': 3066.18}","['breakfast', 'dinner', 'lunch', 'late_night']","['Contemporary American', 'Mediterranean']",[]
940e08d4-20cd-494f-8bb6-6bb287466413,Melissa Fritz,20,charles50@example.net,(832)943-5542,"2278 Jackson Lodge
Johnsonbury, AK 33388","{'seating_preference': 'bar', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'live', 'table_size': '8-top', 'special_requests': ['quiet corner']}","['kosher', 'dairy-free', 'nut-free']",bronze,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2025, 1, 9, 1, 12, 10), 'average_visit_duration': 96, 'preferred_visit_days': ['Thursday', 'Tuesday', 'Saturday', 'Wednesday'], 'visit_pattern': 'regular'}","{'per_visit': 51.07, 'per_month': 528.26, 'per_year': 1486.73}","['dinner', 'breakfast', 'late_night', 'lunch']","['Mediterranean', 'Contemporary American']",[]
a664be0d-db36-4136-9691-a35999f5bc98,Maria Crawford,32,laraamanda@example.net,281.596.8498,"909 Samuel Glen
Dennismouth, ME 94940","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': ['near kitchen']}",[],platinum,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2025, 5, 26, 6, 42, 17), 'average_visit_duration': 76, 'preferred_visit_days': ['Monday', 'Sunday'], 'visit_pattern': 'occasional'}","{'per_visit': 170.28, 'per_month': 301.86, 'per_year': 9599.06}","['breakfast', 'late_night', 'dinner', 'lunch']","['Contemporary American', 'Mediterranean']","[{'type': 'anniversary', 'frequency': 'quarterly', 'preferred_seating': 'outdoor', 'average_group_size': 12}]"
3c72bb5a-67d2-49bf-8d6f-5cdce0828689,Timothy Long,55,stephanie24@example.org,8629135790,"92091 Marshall Highway
Richardsonborough, VA 89779","{'seating_preference': 'indoor', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '2-top', 'special_requests': ['away from kitchen', 'window seat']}",[],gold,"{'visits_per_month': 7, 'last_visit': datetime.datetime(2025, 6, 12, 19, 46, 39), 'average_visit_duration': 159, 'preferred_visit_days': ['Friday', 'Sunday', 'Monday', 'Tuesday'], 'visit_pattern': 'occasional'}","{'per_visit': 186.1, 'per_month': 376.69, 'per_year': 8604.52}","['dinner', 'breakfast']","['Contemporary American', 'Mediterranean']",[]
0ce2df48-23ad-4965-8450-88c28c156d86,Elizabeth Reyes,82,vwilliams@example.com,354.317.1686x0312,"688 Chung Villages Suite 568
New Hannahtown, TX 57774","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': ['near kitchen', 'window seat']}",[],silver,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2025, 2, 6, 12, 0, 58), 'average_visit_duration': 97, 'preferred_visit_days': ['Saturday', 'Sunday', 'Thursday', 'Tuesday', 'Wednesday', 'Monday'], 'visit_pattern': 'occasional'}","{'per_visit': 100.34, 'per_month': 769.86, 'per_year': 9382.87}","['lunch', 'late_night', 'breakfast']",['Mediterranean'],[]
185f4016-e9e8-40ec-9169-908370a3ad37,Jack King,55,thomaskrista@example.com,001-632-563-6467x5852,"1968 Catherine Burg
Woodchester, AL 36489","{'seating_preference': 'private_room', 'noise_level': 'moderate', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '6-top', 'special_requests': ['booth', 'near kitchen']}",[],bronze,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2024, 11, 27, 6, 23, 4), 'average_visit_duration': 105, 'preferred_visit_days': ['Wednesday', 'Saturday', 'Friday', 'Thursday'], 'visit_pattern': 'occasional'}","{'per_visit': 81.47, 'per_month': 419.59, 'per_year': 4904.36}","['late_night', 'breakfast']","['Contemporary American', 'Mediterranean']",[]
4119a478-7a96-44e3-b5d9-3880892a2d86,Austin Grant,55,edwardssean@example.com,104-093-5792,"15283 Edwards Rest Suite 995
Smithview, DC 78780","{'seating_preference': 'private_room', 'noise_level': 'quiet', 'lighting': 'bright', 'music_preference': 'live', 'table_size': '2-top', 'special_requests': []}","['kosher', 'nut-free']",bronze,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 1, 22, 7, 38, 58), 'average_visit_duration': 166, 'preferred_visit_days': ['Sunday', 'Saturday', 'Monday', 'Thursday'], 'visit_pattern': 'seasonal'}","{'per_visit': 117.27, 'per_month': 339.95, 'per_year': 9976.64}","['lunch', 'dinner', 'breakfast', 'late_night']",['Mediterranean'],[]
f34d3fa8-64a3-4ab0-a4ba-fef5c0b9f532,Erica Mitchell,27,trice@example.com,(370)977-8715,"086 Leslie Ridges
South Michael, CA 58438","{'seating_preference': 'bar', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['window seat']}",[],bronze,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2024, 12, 8, 13, 53, 41), 'average_visit_duration': 61, 'preferred_visit_days': ['Monday', 'Wednesday', 'Friday', 'Tuesday'], 'visit_pattern': 'special_occasions'}","{'per_visit': 172.66, 'per_month': 292.91, 'per_year': 6230.05}",['dinner'],['Mediterranean'],[]
e1a402d7-a057-4341-8f66-bfd75f0fc960,Joseph Anderson,47,joycesantiago@example.com,959.504.6229,"Unit 7482 Box 9577
DPO AE 30170","{'seating_preference': 'outdoor', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '4-top', 'special_requests': ['quiet corner']}","['gluten-free', 'halal']",bronze,"{'visits_per_month': 3, 'last_visit': datetime.datetime(2024, 9, 17, 0, 30, 8), 'average_visit_duration': 120, 'preferred_visit_days': ['Friday', 'Thursday', 'Wednesday', 'Saturday', 'Tuesday', 'Sunday'], 'visit_pattern': 'seasonal'}","{'per_visit': 95.5, 'per_month': 819.31, 'per_year': 4399.68}",['lunch'],"['Contemporary American', 'Mediterranean']",[]
a29e3766-25be-49e4-adc5-010c70e4aa42,Rachel Collins,27,millsbianca@example.com,(951)384-3660x68036,"2794 Hernandez Freeway
South Jodi, OK 18414","{'seating_preference': 'indoor', 'noise_level': 'quiet', 'lighting': 'dim', 'music_preference': 'live', 'table_size': '4-top', 'special_requests': []}","['dairy-free', 'vegan', 'shellfish-free']",gold,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2025, 2, 16, 18, 8, 9), 'average_visit_duration': 54, 'preferred_visit_days': ['Friday', 'Thursday'], 'visit_pattern': 'special_occasions'}","{'per_visit': 146.01, 'per_month': 798.2, 'per_year': 4593.34}","['late_night', 'breakfast']","['Mediterranean', 'Contemporary American']","[{'type': 'celebration', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 10}, {'type': 'business_meeting', 'frequency': 'annually', 'preferred_seating': 'main_dining', 'average_group_size': 10}]"
ca89e2ac-5dea-41b6-b5e5-b7c922c5f6b8,Mary Haynes,37,tmiller@example.org,+1-731-831-6774,"4393 Bruce Islands Suite 419
Lake Kristenton, MI 72974","{'seating_preference': 'indoor', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'background', 'table_size': '2-top', 'special_requests': []}",['vegetarian'],silver,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2024, 9, 3, 17, 7, 54), 'average_visit_duration': 74, 'preferred_visit_days': ['Friday', 'Sunday', 'Monday', 'Saturday', 'Wednesday'], 'visit_pattern': 'occasional'}","{'per_visit': 106.2, 'per_month': 142.14, 'per_year': 1990.3}","['late_night', 'dinner', 'lunch']",['Mediterranean'],"[{'type': 'family_gathering', 'frequency': 'special', 'preferred_seating': 'outdoor', 'average_group_size': 18}, {'type': 'anniversary', 'frequency': 'annually', 'preferred_seating': 'main_dining', 'average_group_size': 13}]"
68a51377-4cc5-4969-af2b-b85abab72ac7,Cory Krueger,20,vwhite@example.com,656.641.8071x757,"756 Brianna Lights Apt. 648
Gallegosmouth, VT 30870","{'seating_preference': 'indoor', 'noise_level': 'quiet', 'lighting': 'dim', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['near kitchen']}","['vegetarian', 'nut-free']",silver,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 1, 12, 13, 1, 37), 'average_visit_duration': 107, 'preferred_visit_days': ['Friday', 'Sunday', 'Wednesday', 'Thursday'], 'visit_pattern': 'seasonal'}","{'per_visit': 140.85, 'per_month': 916.14, 'per_year': 5737.5}",['late_night'],"['Contemporary American', 'Mediterranean']","[{'type': 'date_night', 'frequency': 'monthly', 'preferred_seating': 'outdoor', 'average_group_size': 6}]"
f298cdd1-3975-4f40-b855-5779fe8d3657,Brian Phillips,30,gwalker@example.org,856-937-3465,"73171 Vickie Village
New Kathyton, AZ 53477","{'seating_preference': 'private_room', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['away from kitchen']}",[],bronze,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2024, 12, 7, 19, 2, 21), 'average_visit_duration': 102, 'preferred_visit_days': ['Wednesday', 'Monday', 'Friday', 'Tuesday', 'Sunday'], 'visit_pattern': 'seasonal'}","{'per_visit': 129.16, 'per_month': 255.0, 'per_year': 8268.47}","['dinner', 'late_night', 'breakfast']","['Mediterranean', 'Contemporary American']","[{'type': 'anniversary', 'frequency': 'quarterly', 'preferred_seating': 'private_room', 'average_group_size': 13}, {'type': 'anniversary', 'frequency': 'quarterly', 'preferred_seating': 'outdoor', 'average_group_size': 16}]"
adc9c102-5567-4957-8869-6f9e59d8a170,Leah Drake,61,victor61@example.org,1674134349,"462 Williams Neck
East Alfredberg, MD 38718","{'seating_preference': 'indoor', 'noise_level': 'moderate', 'lighting': 'dim', 'music_preference': 'live', 'table_size': '4-top', 'special_requests': []}",[],silver,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2024, 9, 23, 13, 16, 21), 'average_visit_duration': 125, 'preferred_visit_days': ['Sunday'], 'visit_pattern': 'special_occasions'}","{'per_visit': 59.14, 'per_month': 790.6, 'per_year': 8094.99}","['breakfast', 'late_night', 'dinner', 'lunch']","['Mediterranean', 'Contemporary American']",[]
3ab935be-0056-4afa-af75-19e40fc87d97,Thomas Morgan,59,gsimpson@example.org,(671)827-9036x35642,"34651 Anna Isle
Millershire, UT 30277","{'seating_preference': 'bar', 'noise_level': 'lively', 'lighting': 'dim', 'music_preference': 'live', 'table_size': '6-top', 'special_requests': ['quiet corner']}",[],gold,"{'visits_per_month': 2, 'last_visit': datetime.datetime(2025, 5, 22, 21, 58, 38), 'average_visit_duration': 100, 'preferred_visit_days': ['Tuesday', 'Monday', 'Friday', 'Saturday'], 'visit_pattern': 'seasonal'}","{'per_visit': 98.77, 'per_month': 719.23, 'per_year': 3041.93}","['late_night', 'dinner']","['Mediterranean', 'Contemporary American']","[{'type': 'date_night', 'frequency': 'quarterly', 'preferred_seating': 'outdoor', 'average_group_size': 17}, {'type': 'family_gathering', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 2}, {'type': 'date_night', 'frequency': 'special', 'preferred_seating': 'private_room', 'average_group_size': 19}]"
ae399cac-842d-4a88-a4cb-21d94c62dd3e,Kimberly Black,19,qwest@example.net,338-771-6546,"670 Paula Highway Apt. 579
Welchhaven, MA 85910","{'seating_preference': 'private_room', 'noise_level': 'quiet', 'lighting': 'moderate', 'music_preference': 'live', 'table_size': '2-top', 'special_requests': ['window seat', 'quiet corner']}",[],bronze,"{'visits_per_month': 1, 'last_visit': datetime.datetime(2024, 12, 29, 11, 24, 25), 'average_visit_duration': 174, 'preferred_visit_days': ['Wednesday', 'Friday', 'Sunday', 'Monday'], 'visit_pattern': 'regular'}","{'per_visit': 180.29, 'per_month': 302.83, 'per_year': 5434.72}","['breakfast', 'lunch', 'dinner', 'late_night']","['Mediterranean', 'Contemporary American']",[]
3c3449d4-9009-4592-a406-949a8820fe46,Aaron Graham,46,jonathonperez@example.net,+1-993-800-0319x586,"653 Lori Centers
North Johnberg, VA 60087","{'seating_preference': 'indoor', 'noise_level': 'moderate', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '2-top', 'special_requests': ['window seat']}","['nut-free', 'kosher']",bronze,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2024, 7, 27, 6, 20, 36), 'average_visit_duration': 106, 'preferred_visit_days': ['Tuesday'], 'visit_pattern': 'occasional'}","{'per_visit': 149.3, 'per_month': 492.25, 'per_year': 8633.06}","['dinner', 'breakfast', 'late_night']","['Contemporary American', 'Mediterranean']",[]
5a338e18-7b57-48c4-a9b6-aa827fe34319,Alicia Rodgers,26,hillkathy@example.org,(226)389-8430x3238,"655 Paula Canyon
South Shirleyborough, ME 04644","{'seating_preference': 'outdoor', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['booth', 'window seat']}",[],silver,"{'visits_per_month': 1, 'last_visit': datetime.datetime(2024, 9, 15, 8, 8, 21), 'average_visit_duration': 67, 'preferred_visit_days': ['Sunday', 'Thursday', 'Tuesday', 'Monday', 'Wednesday', 'Saturday'], 'visit_pattern': 'regular'}","{'per_visit': 190.17, 'per_month': 878.92, 'per_year': 3628.58}","['late_night', 'breakfast', 'dinner']",['Mediterranean'],[]
8c46e68c-3042-4d1c-b2f8-ca4aba74d14b,Abigail Patterson,42,johnjohnston@example.com,(485)081-3226,"284 Sanchez Curve Apt. 548
West Kristenfort, OH 07781","{'seating_preference': 'indoor', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'live', 'table_size': '6-top', 'special_requests': ['window seat', 'away from kitchen']}",[],bronze,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2025, 3, 19, 22, 7, 57), 'average_visit_duration': 99, 'preferred_visit_days': ['Wednesday', 'Thursday', 'Saturday'], 'visit_pattern': 'special_occasions'}","{'per_visit': 114.93, 'per_month': 403.06, 'per_year': 6059.53}","['dinner', 'breakfast', 'late_night']",['Contemporary American'],[]
230cbd45-c71e-42c4-a990-1ecc60ebf1b4,Edward Pruitt,29,alexanderwood@example.org,001-981-477-4561x061,"17931 Ronald Key Suite 234
West Erinhaven, ME 70540","{'seating_preference': 'outdoor', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'none', 'table_size': '8-top', 'special_requests': ['away from kitchen']}",[],bronze,"{'visits_per_month': 8, 'last_visit': datetime.datetime(2024, 11, 29, 0, 30, 46), 'average_visit_duration': 105, 'preferred_visit_days': ['Tuesday'], 'visit_pattern': 'regular'}","{'per_visit': 73.33, 'per_month': 438.6, 'per_year': 5452.14}","['late_night', 'dinner']","['Mediterranean', 'Contemporary American']","[{'type': 'date_night', 'frequency': 'special', 'preferred_seating': 'main_dining', 'average_group_size': 15}]"
73e8e799-df52-4aba-b0b3-a57172eef1b6,Manuel Carpenter,31,ashley29@example.net,756.853.2042,"72710 Matthew Flats Apt. 963
North Eugene, MT 02456","{'seating_preference': 'indoor', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '8-top', 'special_requests': ['window seat', 'near kitchen']}","['vegan', 'kosher', 'halal']",bronze,"{'visits_per_month': 2, 'last_visit': datetime.datetime(2024, 10, 17, 5, 38, 59), 'average_visit_duration': 180, 'preferred_visit_days': ['Wednesday', 'Monday', 'Tuesday', 'Thursday', 'Friday', 'Sunday'], 'visit_pattern': 'seasonal'}","{'per_visit': 131.99, 'per_month': 735.76, 'per_year': 7712.88}",['late_night'],['Mediterranean'],[]
5ea380fe-c863-41a8-9ded-699c26de8ba8,Michelle Evans,62,kking@example.net,001-406-366-0539x470,"646 Ho Stream
New Jennifer, MN 93732","{'seating_preference': 'bar', 'noise_level': 'moderate', 'lighting': 'bright', 'music_preference': 'live', 'table_size': '8-top', 'special_requests': ['quiet corner', 'window seat']}","['shellfish-free', 'halal', 'nut-free']",platinum,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2025, 1, 25, 7, 51, 56), 'average_visit_duration': 152, 'preferred_visit_days': ['Thursday', 'Sunday', 'Monday', 'Wednesday'], 'visit_pattern': 'seasonal'}","{'per_visit': 53.21, 'per_month': 662.56, 'per_year': 8645.08}","['late_night', 'dinner']",['Contemporary American'],"[{'type': 'celebration', 'frequency': 'special', 'preferred_seating': 'main_dining', 'average_group_size': 9}, {'type': 'family_gathering', 'frequency': 'annually', 'preferred_seating': 'private_room', 'average_group_size': 16}, {'type': 'anniversary', 'frequency': 'monthly', 'preferred_seating': 'private_room', 'average_group_size': 12}]"
43b37317-3afd-4eac-be38-7bcd51e090a0,Patricia Munoz,28,kenneth38@example.org,320.465.9987,"65220 Brian Station
Lake Jennifer, OR 36462","{'seating_preference': 'bar', 'noise_level': 'lively', 'lighting': 'moderate', 'music_preference': 'none', 'table_size': '4-top', 'special_requests': []}",[],silver,"{'visits_per_month': 6, 'last_visit': datetime.datetime(2025, 6, 30, 16, 3, 13), 'average_visit_duration': 134, 'preferred_visit_days': ['Tuesday', 'Thursday', 'Monday', 'Saturday', 'Friday'], 'visit_pattern': 'regular'}","{'per_visit': 75.38, 'per_month': 912.83, 'per_year': 9928.56}","['lunch', 'late_night', 'dinner', 'breakfast']","['Contemporary American', 'Mediterranean']","[{'type': 'celebration', 'frequency': 'monthly', 'preferred_seating': 'outdoor', 'average_group_size': 4}]"
a6ef6668-c284-46d8-bd1e-ecaa47bbb409,Michael Atkins,24,adam43@example.com,(517)670-9038x876,"0702 Melissa Green Apt. 859
West Kurt, FL 29029","{'seating_preference': 'bar', 'noise_level': 'lively', 'lighting': 'bright', 'music_preference': 'background', 'table_size': '8-top', 'special_requests': []}",[],platinum,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2024, 9, 20, 14, 33, 33), 'average_visit_duration': 65, 'preferred_visit_days': ['Saturday', 'Thursday', 'Sunday', 'Friday', 'Tuesday', 'Wednesday'], 'visit_pattern': 'occasional'}","{'per_visit': 130.29, 'per_month': 201.66, 'per_year': 3259.76}","['late_night', 'breakfast', 'lunch']","['Contemporary American', 'Mediterranean']",[]
bdde939b-2b09-4950-b521-cd51e081f53d,Christopher Bryan,60,brian47@example.com,313-978-2279x76689,"388 Virginia Manors
Castilloshire, OK 73087","{'seating_preference': 'bar', 'noise_level': 'moderate', 'lighting': 'dim', 'music_preference': 'none', 'table_size': '4-top', 'special_requests': ['quiet corner', 'away from kitchen']}",[],silver,"{'visits_per_month': 4, 'last_visit': datetime.datetime(2024, 12, 28, 5, 34, 3), 'average_visit_duration': 133, 'preferred_visit_days': ['Saturday', 'Monday'], 'visit_pattern': 'seasonal'}","{'per_visit': 123.27, 'per_month': 754.06, 'per_year': 7826.28}",['late_night'],['Contemporary American'],[]
bdf42ea7-8d8a-4e75-bb76-40e6a6f6d638,Susan Collins,35,james52@example.org,(998)162-4428x125,"05135 Miller Harbors Suite 646
Riceshire, DE 11477","{'seating_preference': 'private_room', 'noise_level': 'lively', 'lighting': 'dim', 'music_preference': 'none', 'table_size': '2-top', 'special_requests': []}",[],silver,"{'visits_per_month': 5, 'last_visit': datetime.datetime(2025, 2, 16, 15, 23, 57), 'average_visit_duration': 99, 'preferred_visit_days': ['Friday', 'Wednesday', 'Sunday', 'Tuesday', 'Monday'], 'visit_pattern': 'occasional'}","{'per_visit': 45.2, 'per_month': 351.38, 'per_year': 3978.63}","['dinner', 'lunch', 'late_night', 'breakfast']","['Contemporary American', 'Mediterranean']",[]
